Totaal,Handsoorten,,"Terug-
vangst",Landen,,Kleurring,Locaties,Vangmethoden,Aantal zelf geringd,,,,,
,80,,,4,,5,8,8,,21,uniek,71,5,21
3739,,,942,,,200,,,1718,76,door mij,1718,91,76
Datum,Soort,"Nieuwe
projectsoort","Terug-
vangst",Buitenland,Ringnummer,Kleurring,Locatie,Vangmethode,Ringer,"Zoönose
door mij",Bijzonderheid,Ringsoorten,Kleurring,Zoönose
,,,j,land,,kleurcode,,,,j,,,,
10-08-2021,Knobbelzwaan,7,,,9503988,W(Y184)/M,"De Haar, Utrecht",Hand,Erik Hulshof,,,,,
10-08-2021,Knobbelzwaan,8,,,RK41,W(Y047)/M,"De Haar, Utrecht",Hand,Erik Hulshof,,,,,
10-08-2021,Knobbelzwaan,9,j,,PV01,W(Y048)/M,"De Haar, Utrecht",Hand,Erik Hulshof,,,,,
10-08-2021,Knobbelzwaan,10,j,,KS18,W(Y045)/M,"De Haar, Utrecht",Haak,Jonathan,,,,,
10-08-2021,Knobbelzwaan,11,j,,KR28,W(Y046)/M,"De Haar, Utrecht",Haak,Erik Hulshof,,,,,
10-08-2021,Knobbelzwaan,12,,,9503989,W(Y185)/M,"De Haar, Utrecht",Haak,Jonathan,,,,,
10-08-2021,Knobbelzwaan,13,,,9503990,W(Y186)/M,"De Haar, Utrecht",Haak,Erik Hulshof,,,,,
10-08-2021,Knobbelzwaan,14,,,9503991,W(Y187)/M,"De Haar, Utrecht",Haak,Jonathan,,,,,
10-08-2021,Knobbelzwaan,15,,,9503992,W(Y188)/M,"De Haar, Utrecht",Haak,Erik Hulshof,,,,,
10-08-2021,Knobbelzwaan,16,,,9503993,W(Y189)/M,"De Haar, Utrecht",Haak,Jonathan,,,,,
10-08-2021,Knobbelzwaan,17,j,,PV51,W(Y013)/M,"De Haar, Utrecht",Haak,Erik Hulshof,,,,,
10-08-2021,Knobbelzwaan,18,j,,PV86,W(Y012)/M,"De Haar, Utrecht",Haak,Erik Hulshof,,,,,
10-08-2021,Knobbelzwaan,19,,,9503981,W(Y177)/M,"De Haar, Utrecht",Haak,Erik Hulshof,,,,,
10-08-2021,Knobbelzwaan,20,,,9503982,W(Y178)/M,"De Haar, Utrecht",Haak,Erik Hulshof,,,,,
10-08-2021,Knobbelzwaan,21,,,9503983,W(Y179)/M,"De Haar, Utrecht",Haak,Erik Hulshof,,,,,
